data,temp,umid,pto_orvalho,pressao,vento_vel,vento_dir,vento_rajada,radiacao,precipitacao,delta,fluxo_calor,coefPsic,es,ea,EToPM
25/04/2017 00:00,29.1,67.375,22.3,99.795,3.7875,103,7.7375,10.259,0.025,0.232642106725476,0,0.066363675,4.02888442325915,2.71446088017086,5.09284658210826
26/04/2017 00:00,27.7041666666667,73.75,22.4791666666667,99.89375,3.49583333333333,107.5,6.95833333333333,19.89215,0,0.216800967200472,0,0.06642934375,3.71530666037569,2.74003866202707,6.7297049619869
27/04/2017 00:00,27.425,77.5,23.0875,99.9658333333333,3.17916666666667,108.291666666667,6.45,18.178175,0.0416666666666667,0.213744104976632,0,0.0664772791666667,3.6552080851834,2.83278626601713,5.98156158238889
28/04/2017 00:00,28.2583333333333,75.1666666666667,23.3333333333333,99.9620833333333,3.56666666666667,109.416666666667,7.44166666666667,23.18709,0,0.222978014269087,0,0.0664747854166667,3.83716043754713,2.88426559555626,7.52406675969622
29/04/2017 00:00,27.9166666666667,74.1666666666667,22.7458333333333,99.9591666666667,4.15789473684211,122.210526315789,8.90526315789474,21.239133,0.0916666666666667,0.219152386193799,0,0.0664728458333333,3.76162825950736,2.78987429246796,7.11904181348843
30/04/2017 00:00,26.6291666666667,82.6666666666667,23.3875,100.05375,2.28333333333333,120.083333333333,5.87826086956522,12.73152,0.35,0.205227930841306,0,0.06653574375,3.48850448340773,2.88383037295039,4.1493773383682
01/05/2017 00:00,27.4916666666667,72.7916666666667,21.9541666666667,100.030833333333,1.87916666666667,123.666666666667,4.64583333333333,19.75147,0,0.214470788495358,0,0.0665205041666667,3.66948249906087,2.67107746910806,6.49824589199397
02/05/2017 00:00,27.0541666666667,76.75,22.4583333333333,99.9941666666667,2.85416666666667,110.416666666667,6.39583333333333,17.722651,0.125,0.209739597103337,0,0.0664961208333333,3.57668584013055,2.74510638230019,5.83977000530214
03/05/2017 00:00,27.6958333333333,70,21.6416666666667,99.9270833333333,3.04166666666667,115.833333333333,7.25,20.25459,0,0.216709188492565,0,0.0664515104166667,3.71350029271061,2.59945020489743,7.00466651857854
04/05/2017 00:00,26.9166666666667,77.5,22.4875,99.91875,3.12083333333333,117.125,7.76666666666667,19.454548,0.725,0.208270903127771,0,0.06644596875,3.54794651851458,2.7496585518488,6.22757785776107
05/05/2017 00:00,27.2875,76.2083333333333,22.5666666666667,99.9395833333333,3.2,107.166666666667,6.875,21.878706,0.0583333333333333,0.212251855417661,0,0.0664598229166667,3.62591974153107,2.76325300302513,6.96409248289603
06/05/2017 00:00,27.5375,71.4583333333333,21.7583333333333,99.8870833333334,2.625,155.458333333333,5.82916666666667,22.56734,0,0.214971587142928,0,0.0664249104166667,3.67932429374401,2.62918381823791,7.4195199342364
07/05/2017 00:00,27.525,77.4166666666667,23.075,99.8645833333333,3.4375,106.916666666667,7.25,16.62843,0,0.214834908313012,0,0.0664099479166667,3.67663789113087,2.84633050071715,5.64332121190472
08/05/2017 00:00,26.1041666666667,85,23.3625,99.83875,2.77083333333333,103.916666666667,6.69583333333333,10.87466,0.408333333333333,0.199767669627064,0,0.06639276875,3.3821941226096,2.87486500421816,3.55078056890168
09/05/2017 00:00,25.7454545454545,82.2727272727273,22.4818181818182,99.8909090909091,3.71818181818182,116.272727272727,7.71818181818182,0.21606,0,0.196107626239582,0,0.0664274545454545,3.31119022928512,2.72420650682094,1.31034634465545
